Unidade de Saúde,GVE,Cidade,Endereço,Soro,Tipos de Soro,Telefone,latitude,longitude,24h
UNIDADE MISTA,GVE 23 REGISTRO,PEDRO DE TOLEDO,"AV. CORONEL RAIMUNDO VASCONCELOS, 360 - CENTRO",1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3419-7010,-24.275090417683902,-47.231719365439254,1
SANTA CASA DE MISERICÓRDIA DE PENÁPOLIS,GVE 11 ARACATUBA,PENAPOLIS,"AV. SANTA CASA, 566",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3652-2210,-21.42336309963853,-50.071305290000026,1
SANTA CASA DE PEREIRA BARRETO,GVE 11 ARACATUBA,PEREIRA BARRETO,"RUA DERMIVAL FRANCESCHI, 505",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3704-4255,-20.653046370806198,-51.114691028674976,1
CENTRO DE SAUDE DE PEREIRAS,GVE 16 BOTUCATU,PEREIRAS,"Praça Dr Paulo Fraletti s/ n - Centro, Pereiras - SP, 18580-000",0,,(14) 3888-1272,-23.07352346987458,-47.97674710228104,1
UPA PERUÍBE (PROVISÓRIO),GVE 25 SANTOS,PERUIBE,RUA ALFREDO GOMES 46. CENTRO. PERUÍBE,1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3454-1589,-24.31908326364707,-47.00232521701429,1
UBS III DE PIACATU ANTONIO CIRO DEPS,GVE 11 ARACATUBA,PIACATU,"Trecho Vereador Guilherme Tomarozzi 63, Piacatu - SP, 16230-000",0,,1836931248,-21.59370877673838,-50.59863726333518,0
HOSPITAL SANTA CASA - PIEDADE,GVE 31 SOROCABA,PIEDADE,"RUA QUINTINO BOCAIUVA, Nº 154, CENTRO",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(15) 3244-8200,-23.71292385477301,-47.417925188712545,1
SANTA CASA PILAR DO SUL,GVE 31 SOROCABA,PILAR DO SUL,"Av. Papa João XXIII, 1038 - Campo Grande, Pilar do Sul - SP, 18185-000",0,,(15) 3278-9600,-23.81075124364217,-47.72775959056689,1
PRONTO SOCORRO MUNICIPAL,GVE 33 TAUBATE,PINDAMONHANGABA,R. MAJOR JOSÉ DOS SANTOS MOREIRA 466 - CEP 12.410-050,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3550-0597 / (12) 3550-0600,-22.930887299264555,-45.45765018634765,1
PRONTO SOCORRO MUNICIPAL JOAO NASSAR,GVE 29 SAO JOSE DO RIO PRETO,PINDORAMA,"R. Wenceslau Braz, 149 - Centro Histórico de São Paulo, Pindorama - SP, 15830-000",0,,(17) 3572-1504,-21.184821839663154,-48.90357943103986,1
CSIII DR HUGO ROCHA,GVE 17 CAMPINAS,PINHALZINHO,"R. Variante Americo Pedro Benedetti, 71, Pinhalzinho - SP, 12995-000",0,,(11) 4018-4129,-22.783031806492367,-46.58109866729361,0
POSTO DE SAUDE DRCRISTOVAN RUTHILLER T MACIEL,GVE 22 PRESIDENTE VENCESLAU,PIQUEROBI,"R. Olávo Bilac, 166, Piquerobi - SP, 19410-000",0,,-,-21.88796304560129,-51.72730355431315,0
UNIDADE DE PRONTO ATENDIMENTO PIQUETE,GVE 33 TAUBATE,PIQUETE,"Avenida Olga Maria Ecklund, s/n - Centro, Piquete - SP, 12620-000",0,,(12) 3156-3400,"-22.61122538069105,",-45.18476515344719,1
SANTA CASA DE PIRACAIA,GVE 17 CAMPINAS,PIRACAIA,"Av. Dr. Cândido Rodrigues, 120 - Centro, Piracaia - SP, 12970-000",0,,(11) 4036-2010,-23.05505103408528,-46.357740480271175,1
SANTA CASA DE MISERICÓRDIA DE PIRACICABA,GVE 20 PIRACICABA,PIRACICABA,"AV. INDEPENDÊNCIA, 953",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(19) 3417-5000,-22.73716501777954,-47.64338312404677,1
UPA VILA CRISTINA,GVE 20 PIRACICABA,PIRACICABA,"RUA DONA ANÉSIA, JARAGUÁ",1,ESCORPIÔNICO,(19) 3434-2296,-22.741013509499055,-47.66698447047602,1
SOCIEDADE DE BENEFICÊNCIA,GVE 16 BOTUCATU,PIRAJU,"RUA 7 DE SETEMBRO, Nº 818",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(14) 3305-9444,-23.196739593247365,-49.38021035193114,1
SANTA CASA DE PIRAJUÍ,GVE 15 BAURU,PIRAJUI,"AVENIDA RUI BARBOSA LIMA, Nº 746",1,ESCORPIÔNICO,(14) 3572-1828,-21.99736053547302,-49.45697715802185,1
HOSPITAL BENEFICENTE JOSE PIRONDI,GVE 29 SAO JOSE DO RIO PRETO,PIRANGI,"Av. Carmem Lúcia Giglio Girade, 1901 - Centro, Pirangi - SP, 15820-000",0,,(17) 3386-1800,-21.096837566950335,-48.669328890566895,1
PRONTO ATENDIMENTO BENEDITO ZEFERINO DA SILVA,GVE 10 OSASCO,PIRAPORA DO BOM JESUS,"Av. Maria José​ de Oliveira Bueno, S/n - Vila Nova, Pirapora do Bom Jesus - SP, 06550-000",0,,(11) 4131-5211,-23.395621590886257,-47.00426150776657,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 21 PRESIDENTE PRUDENTE,PIRAPOZINHO,"RUA EUCLIDES DA CUNHA, Nº 191",1,ESCORPIÔNICO,18 – 32692609,"-22.27566960595386,",-51.49271775009391,1
SANTA CASA DE MISERICÓRDIA,GVE 20 PIRACICABA,PIRASSUNUNGA,"AV. NEWTON PRADO, 1883",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(19) 3655-8100,-21.99605113826665,-47.42174655751131,1
SANTA CASA DE PIRATININGA,GVE 15 BAURU,PIRATININGA,"R. Anchieta, 102 - Downtown, Piratininga - SP, 17490-000",0,,(14) 3265-1009,-22.41319668331162,-49.13248041800433,1
SANTA CASA DE PITANGUEIRAS,GVE 24 RIBEIRAO PRETO,PITANGUEIRAS,"R. Iguaçu, 510 - Jardim Brasilia, Pitangueiras - SP, 14750-000",0,,(16) 3952-1314,-21.0133180079891,-48.21409688500385,1
CS DE PLANALTO,GVE 29 SAO JOSE DO RIO PRETO,PLANALTO,"Rua Luiz Americo De Freitas, 846 - Centro, Planalto - SP, 15260-000",0,,1836951190,-21.034320047780316,-49.92790200119913,0
CENTRO DE SAUDE DE PLATINA,GVE 13 ASSIS,PLATINA,"R. Sebastião Moreira da Rocha, 310, Platina - SP, 19990-041",0,,(18) 3354-1105,-22.63249262366835,-50.20435312161702,0
PRONTO ATENDIMENTO DR GUIDO GUIDA,GVE 8 MOGI DAS CRUZES,POA,"Av. Felício Marinelli, 100 - Jardim Medina, Poá - SP, 08556-200",0,,(11) 4636-3200,-23.515776508549745,-46.3462931807846,1
UNIDADE BASICA DE SAUDE DE POLONI,GVE 29 SAO JOSE DO RIO PRETO,POLONI,"R. Antônio Mendes, 140 - Santo Antonio, Poloni - SP, 15162-004",0,,(17) 3819-9910,"-20.783062058549866,",-49.81652313901499,0
SANTA CASA POMPEIA,GVE 19 MARILIA,POMPEIA,"R. Luís Selani Neto, 345 - Slandria, Pompéia - SP, 17580-000",0,,(14) 3405-2010,-22.100852273383037,-50.17603033660292,1
CENTRO DE SAUDE III DE PONGAI,GVE 15 BAURU,PONGAI,"Av. João Francisco Alves, 277 - Centro, Pongaí - SP, 16660-000",0,,(14) 3581-1130,-21.737854084763676,-49.35679341332964,1
SANTA CASA DE PONTAL,GVE 24 RIBEIRAO PRETO,PONTAL,"R. Ananias da Costa Freitas, 691-705 - Jardim Res., Pontal - SP, 14180-000",0,,(16) 3953-9100,"-21.02803160941087,",-48.03886108749187,1
UBS DE PONTALINDA,GVE 30 JALES,PONTALINDA,"AV BRASIL, 1269",0,,(17) 3699-1113,"-20.44141002414858,",-50.519113852132634,0
UNIDADE BASICA DE SAUDE ARNALDO ROMANO,GVE 29 SAO JOSE DO RIO PRETO,PONTES GESTAL,"R. João Araújo Teixeira, 884, Pontes Gestal - SP, 15560-000",0,,(17) 3844-1266,-20.179389629236237,-49.69894687573208,1
SANTA CASA DE POPULINA,GVE 30 JALES,POPULINA,"R. Treze de Maio, 1099 - Centro Histórico de São Paulo, Populina - SP, 15670-000",0,,(17) 3639-1170,-19.942742362270863,-50.53866462278782,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 16 BOTUCATU,PORANGABA,"Rua Professor Antônio Freire de Souza, 344 - Centro, Porangaba - SP, 18260-000",0,,(15) 3257-1450,-23.17652969544311,-48.12335957304448,1
SANTA CASA DE PORTO FELIZ,GVE 31 SOROCABA,PORTO FELIZ,"R. Olavo Assumpção Fleury, 101 - Centro, Porto Feliz - SP, 18540-000",0,,(15) 3261-8800,-23.204021424805013,-47.52299431991377,1
HOSPITAL DONA BALBINA,GVE 12 ARARAQUARA,PORTO FERREIRA,"R. DR. CARLINDO VALERIANI, 337",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(19) 3589-5500,-21.854102908803785,-47.481054721768125,1
UBSF WALDEMIR JOSE PEDROSO,GVE 33 TAUBATE,POTIM,"R. Padre Agenor Matias Pessoa, 100, Potim - SP, 12525-298",0,,-,-22.84001810892112,-45.25108043933204,0
HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA,GVE 29 SAO JOSE DO RIO PRETO,POTIRENDABA,"Av. Anna J. P. García, 430 - Vila Scarpelli, Potirendaba - SP, 15105-000",0,,(17) 3827-8400,-21.041869749604043,-49.36972042939981,1
UBS DE PRACINHA,GVE 19 MARILIA,PRACINHA,"ISAAC GUIMARÃES NOVAIS, 89 - Centro, Pracinha - SP, 17790-000",0,,(18) 3552-1140,-21.853479037614797,-51.08476575418499,0
PRONTO ATENDIMENTO MUNICIPAL VALDEMAR BALATORE,GVE 24 RIBEIRAO PRETO,PRADOPOLIS,"R. Treze de Maio, 788, Pradópolis - SP, 14850-000",0,,(16) 3981-9500,-21.36420530098442,-48.0634677672936,1
PS QUIETUDE,GVE 25 SANTOS,PRAIA GRANDE,"AV. MINISTRO MARCOS FREIRE, S/N, JD. QUIETUDE",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3471-4221,-24.019642201762498, -46.47674902682061,1
CENTRO DE SAUDE BENEDITO DE SOUZA PRATANIA,GVE 16 BOTUCATU,PRATANIA,"Av. Padre José Marins, Pratânia - SP, 18660-000",0,,(14) 3844-8210,-22.809260962551217,-48.66383420962094,0
UBS II DE PRESIDENTE ALVES,GVE 15 BAURU,PRESIDENTE ALVES,"R. Rui Barbosa, 45, Pres. Alves - SP, 16670-000",0,,(14) 3587-1459,-22.09916669371204,-49.436631975221545,1
HOSPITAL DE MISERICORDIA NOSSA SENHORA APARECIDA,GVE 21 PRESIDENTE PRUDENTE,PRESIDENTE BERNARDES,"R. Dr. Arthur Falcone, 737 - VIL SAO VICENTE, Pres. Bernardes - SP, 19300-000",0,,(18) 3262-1415,-22.005247230642773,-51.53713956084181,1
SANTA CASA DE MISERICÓRDIA,GVE 22 PRESIDENTE VENCESLAU,PRESIDENTE EPITACIO,"R. ANTONIO VENÂNCIO LOPES, Nº 09 - 52",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3251-8010,-21.7739849464852,-52.11000057522155,1
HOSPITAL UNIVERSITÁRIO (HOSP. REGIONAL),GVE 21 PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,"RUA JOSÉ BOGIOVANI, Nº 900",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(18) 3229-1500,-22.132151387178013,-51.40639185380261,1
SANTA CASA DE MISERICÓRDIA,GVE 21 PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,"RUA VENCESLAU BRAZ, Nº 05",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(18) 2101-8000,"-22.129342214983552,",-51.391176736602915,1
SANTA CASA DE MISERICÓRDIA,GVE 22 PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,RUA EMILIANO VILANOVA Nº 66,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3271-2411,-21.87143906430526,-51.840417163584895,1
HOSPITAL GERAL PREFEITO MIGUEL MARTIN GUALDA DE PROMISSAO,GVE 15 BAURU,PROMISSAO,"Av. Gen. Euríco Gaspar Dutra, 620 - Centro, Promissão - SP, 16370-000",0,,(14) 3541-0644,-21.541730452688263,-49.85890474689575,1
UBS ORLANDO DE OLIVEIRA,GVE 31 SOROCABA,QUADRA,"Rua Joaquim Paifer Sobrinho, 256 - Centro, Quadra - SP, 18255-000",0,,(15) 3253-9030,-23.300751754395176,-48.05689068500384,0
PRONTO SOCORRO MUNICIPAL AGRIPINO DE OLIVEIRA LIMA FILHO,GVE 21 PRESIDENTE PRUDENTE,QUATA,"Av. Dr. Rodolpho Sebastião Giorgi, 307, Quatá - SP, 19780-000",0,,(18) 3366-1075,-22.25141970132043,-50.696285197984295,1
UBS MARIA AFONSO DA SILVA,GVE 19 MARILIA,QUEIROZ,"R. Odilon Batista da Silva - Vila Nova, Queiroz - SP, 17590-000",0,,-,-21.80232050873695,-50.23818179612994,0
HOSPITAL MUNICIPAL DE QUELUZ,GVE 33 TAUBATE,QUELUZ,"R. Nossa Sra. de Fátima, 65, Queluz - SP, 12800-000",0,,(12) 3147-1560,-22.53826805564811,-44.77210125936567,1
SANTA CASA DE QUINTANA,GVE 19 MARILIA,QUINTANA,"Av. Santos, 417, Quintana - SP, 17670-000",0,,(14) 3488-1156,-22.07058311777466,-50.30530641940322,1
UNIDADE BASICA DE SAUDE MARIA TEREZA APPRILANTE GIMENEZ,GVE 20 PIRACICABA,RAFARD,"Avenida Dr - Av. José Soares de Faria, 452 - Popular de Rafard, Rafard - SP, 13370-000",0,,(19) 3496-7230,-23.0177654535844,-47.526390348239566,0
HOSPITAL E MATERNIDADE,GVE 21 PRESIDENTE PRUDENTE,RANCHARIA,"RUA MÁRIO CÉSAR DE CAMARGO, 1559",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3265-1511,"-22.233294801591306,",-50.89578071147528,1
CENTRO DE SAUDE III DE REDENCAO DA SERRA,GVE 33 TAUBATE,REDENCAO DA SERRA,"R. Vinte e Oito de Agosto, 57, Redenção da Serra - SP, 12170-000",0,,(12) 3676-1428,-23.280159836099948,-45.53355109983863,0
HOSPITAL E MATERNIDADE REGIONAL REGENTE FEIJO,GVE 21 PRESIDENTE PRUDENTE,REGENTE FEIJO,"R. Brg. Tobias, 300 - Reg. Feijó, SP, 19570-000",0,,(18) 3279-1233,-22.21828149473064,-51.3034382807846,1
CENTRO DE SAUDE III REGINOPOLIS,GVE 15 BAURU,REGINOPOLIS,"AVENIDA PADRE ANCHIETA, 441",0,,(14) 3589-9100,-21.890125485957153,-49.21961707257298,1
HOSPITAL SÃO JOÃO,GVE 23 REGISTRO,REGISTRO,"RUA KIHEIJI NASUNO, 165 - CENTRO",1,BOTRÓPICO E ARACNÍDICO.,(13) 3821-1111,-24.486899587136225,-47.84534390220353,1
HOSPITAL REGIONAL DE REGISTRO,GVE 23 REGISTRO,REGISTRO,"RODOVIA REGIS BITENCOURT, S/Nº KM499",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO E LONÔMICO.",(13) 3500-8944,-24.530107648558946,-47.85522856729359,1
UNIDADE DE PRONTO ATENDIMENTO,GVE 23 REGISTRO,REGISTRO,"AVENIDA NELSON BRIHI BADUR, 605 - VILA SÃO NICOLAU",1,ESCORPIÔNICO,(13) 3821-3155,-24.503008798023522,-47.85203442682061,1
CS III RESTINGA,GVE 18 FRANCA,RESTINGA,"R. Olívia Martins Ferreira, 620, Restinga - SP, 14430-000",0,,(16) 3143-1109,-20.602613448504574,-47.47970199005635,1
UNIDADE DE PRONTO ATENDIMENTO UPA,GVE 32 ITAPEVA,RIBEIRA,"R. Frederico Dias Batista, 306 - Centro, Ribeira - SP, 18380-000",0,,(15) 3555-1177,-24.658816685251086,-49.00908909737686,1
SANTA CASA DE MISERICORDIA RIBEIRAO BONITO,GVE 12 ARARAQUARA,RIBEIRAO BONITO,"R. Hortência, 120 - Jardim Primavera, Ribeirão Bonito - SP, 13580-000",0,,(16) 3344-1744,"-22.072503034940734,",-48.17568931147529,1
HOSP. MUNICIPAL MARIA ROSA CARDOSO,GVE 32 ITAPEVA,RIBEIRAO BRANCO,"RUA CAPITÃO ELIAS PEREIRA, Nº1.245",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(15) 3553-1144 E (15) 99716-4744,-24.225802543981676,-48.76706588449328,1
UBS RIBEIRAO CORRENTE,GVE 18 FRANCA,RIBEIRAO CORRENTE,"Rua Joaquim Policarpo da Silva, 1250, Ribeirão Corrente - SP, 14445-000",0,,(16) 3749-1192,"-20.46179902528985,",-47.58779225194826,0
CENTRO DE SAUDE DE RIBEIRAO DO SUL REMEDIOS BERTOLLI,GVE 13 ASSIS,RIBEIRAO DO SUL,"R. Antônio da Palma, 201, Ribeirão do Sul - SP, 19930-000",0,,(14) 3379-1152,"-22.785039700807626,",-49.93124482867498,1
UBS II DO RIBEIRAO DOS INDIOS,GVE 21 PRESIDENTE PRUDENTE,RIBEIRAO DOS INDIOS,"Rua João Defende, 95 - Centro, Ribeirão dos Índios - SP, 19380-000",0,,(18) 3261-6124,"-21.835837041390093,",-51.602074157511304,0
UNIDADE DE SAUDE DA FAMILIA RIBEIRAO GRANDE,GVE 31 SOROCABA,RIBEIRAO GRANDE,"R. Joaquim da Cruz, 130 - Centro, Ribeirão Grande - SP, 18315-000",0,,(15) 3554-1109,-24.09756225552044,-48.36134695565696,0
HOSPITAL RIBEIRAO PIRES,GVE 7 SANTO ANDRE,RIBEIRAO PIRES,"R. Dr. Nicolau Assef, 52 - Centro Alto, Ribeirão Pires - SP, 09424-070",0,,(11) 4827-1000,"-23.71347471759996,",-46.42067848635547,1
HOSP. CLÍNICAS FMRP - USP,GVE 24 RIBEIRAO PRETO,RIBEIRAO PRETO,"RUA BERNARDINO DE CAMPOS, 1.000, CENTRO",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(16) 3602-1190 / 1149,-21.162402790392917,-47.85271467517337,1
CS DE RIFAINA,GVE 18 FRANCA,RIFAINA,"R. Moacir Vedovato, 23, Rifaina - SP, 14490-000",0,,(16) 3135-1174,-20.081838898637088,-47.42855819798428,0
PRONTO SOCORRO MUNICIPAL RINCAO,GVE 12 ARARAQUARA,RINCAO,"Av. Prudente de Morais, 126-192, Rincão - SP, 14830-000",0,,(16) 3395-1256,"-21.587112268819677,",-48.071989174711014,1
HOSPITAL SAO PAULO DE RINOPOLIS,GVE 19 MARILIA,RINOPOLIS,"R. Francisco L Munhoz, Rinópolis - SP, 17740-000",0,,(18) 3583-1281,-21.729722496148433,-50.72521698916994,1
UNIDADE DE URGÊNCIA E EMERGÊNCIA NOSSA SENHORA DE LOURDES,GVE 20 PIRACICABA,RIO CLARO,"AV. 15, Nº 297",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(19) 3533-5484,"-22.41534055201261,",-47.55594656355849,1
HOSPITAL SAO VICENTE DE PAULO,GVE 20 PIRACICABA,RIO DAS PEDRAS,"R. São Vicente de Paula, 60 - CENTRO, Rio das Pedras - SP, 13390-000",0,,(19) 3493-6482,"-22.84700269351464,",-47.60730771332963,1
UBS CENTRAL DE RIO GRANDE DA SERRA,GVE 7 SANTO ANDRE,RIO GRANDE DA SERRA,"Rua Prefeito Cido Franco, 500 - Jardim Maria Paula, Rio Grande da Serra - SP, 09450-000",0,,(11) 4820-8020,-23.741990150086288,-46.395180967293605,0
SANTA CASA DE MISERICÓRDIA,GVE 29 SAO JOSE DO RIO PRETO,RIOLANDIA,RUA 10 S/N,1,ESCORPIÔNICO,(17) 3291-1588,-19.981766108782224,-49.6771680091104,1
PRONTO ATENDIMENTO MUNICIPAL RIVERSUL,GVE 32 ITAPEVA,RIVERSUL,"R. Elvira Biglia, 11 - SP",0,,(15) 0571-1534,-23.832587581494117,-49.43074224627734,1
HOSPITAL REGIONAL DE PORTO PRIMAVERA,GVE 22 PRESIDENTE VENCESLAU,ROSANA,"RUA DO HOSPITAL, S/N",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3284-9500,-22.530103670147312,-52.94919245930933,1
UNIDADE MISTA DE SAUDE DE ROSEIRA DR PAULO GUIMARAES CASTRO,GVE 33 TAUBATE,ROSEIRA,"R. Roque Viêira, Roseira - SP, 12580-000",0,,(12) 3646-9440,"-22.89889020066337,",-45.30141185948952,0
UBS III DE RUBIACEA,GVE 11 ARACATUBA,RUBIACEA,"R. Francisco de Paula Leite, 208, Rubiácea - SP, 16750-000",0,,(18) 3697-1128,-21.300339632508607,-50.73044971518398,0
CS DE RUBINEIA,GVE 30 JALES,RUBINEIA,"Av. Olavo Bilac, 791 - Rubinéia, SP, 15790-000",0,,(17) 3661-1399,-20.172025068160032,-50.998143295563054,0
CS III DE SABINO,GVE 15 BAURU,SABINO,"Av. Paes Leme, 735, Sabino - SP, 16440-000",0,,(14) 3546-9101,-21.45928598343271,-49.57949131703834,1
USF DE SAGRES,GVE 19 MARILIA,SAGRES,"R. Ver. Francisco Pereira, 340 - Centro, Sagres - SP, 17710-000",0,,-,-21.88360171798516,-50.9547387979843,0
UBS APARECIDA ALVES GOMES GORNI,GVE 29 SAO JOSE DO RIO PRETO,SALES,"R. Gabriel Assad, Sales - SP, 14980-000",0,,-,-21.338343806457434,-49.4925683979843,1
HOSPITAL SANTA RITA DE SALES OLIVEIRA,GVE 18 FRANCA,SALES OLIVEIRA,"R. Sete de Setembro, 589 - Centro, Sales Oliveira - SP, 14660-000",0,,(16) 3852-9999,"-20.771277070135177,",-47.834609326820626,1
SANTA CASA DE MISERICÓRDIA,GVE 8 MOGI DAS CRUZES,SALESOPOLIS,"RUA PRAÇA JOÃO MENDES,31",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",(11) 4696-1411,"-23.532320853717366,",-45.84481852496628,1
UBS DE SALMOURAO ARNALDO RABASSI,GVE 19 MARILIA,SALMOURAO,"R. Moacir dos Réis, 495 - Centro, Salmourão - SP, 17720-000",0,,(18) 3557-1149,-21.620788504062972,-50.862561615183985,0
UNIDADE BASICA DE SAUDE DE SALTINHO,GVE 20 PIRACICABA,SALTINHO,"R. Prof. Paulo da Silva Coelho, 637 - Centro, Saltinho - SP, 13440-000",0,,(19) 3439-7710,"-22.60359835588881,",-47.06013041799312,1
HOSPITAL E MATERNIDADE MUNICIPAL NOSSA SENHORA DO MONTE SERRAT,GVE 31 SOROCABA,SALTO,"R. Europa, 1575 - Jardim Celani, Salto - SP, 13326-110",0,,(11) 4602-9000,-23.1908802950394,-47.3119974448152,1
SANTA CASA SALTO DE PIRAPORA,GVE 31 SOROCABA,SALTO DE PIRAPORA,"Av. Carlos Chagas, 67 - Centro, Salto de Pirapora - SP, 18160-000",0,,(15) 3491-9211,"-23.65566817212432,",-47.57351325936566,1
SANTA CASA DE SALTO GRANDE,GVE 13 ASSIS,SALTO GRANDE,"R. Olímpio Pímentel, 2, Salto Grande - SP, 19920-000",0,,(14) 3378-1144,-22.886895558019987,-49.98392900169299,1
UNIDADE BASICA DE SAUDE II SANDOVALINA,GVE 21 PRESIDENTE PRUDENTE,SANDOVALINA,"R. Antônio Soares Paiva, 136-266, Sandovalina - SP, 19250-000",0,,(18) 3277-1105,-22.455461807970305,-51.76177909983864,0
SANTA CASA DE SANTA ADELIA,GVE 29 SAO JOSE DO RIO PRETO,SANTA ADELIA,"Av. Duque de Caxias, 168 - Vila Toninho, Santa Adélia - SP, 15950-000",0,,(17) 3571-2233,-21.24567790708083,-48.80653274453086,1
PRONTO SOCORRO DE SANTA ALBERTINA,GVE 30 JALES,SANTA ALBERTINA,"Rua Marcos Roque, 905 - Centro, Santa Albertina - SP, 15750-000",0,,(17) 0633-1289,"-20.035501822818144,",-50.72314488820199,1
PRONTO SOCORRO ÉDSON MANO,GVE 17 CAMPINAS,SANTA BÁRBARA D’OESTE,"RUA ALICE ARANHA DE OLIVEIRA, 45 – VILA MARIA",1,ESCORPIÔNICO E ARACNÍDICO.,(19) 3464-9210,"-22.753393973286848,",-47.418245044020324,1
PRONTO ATENDIMENTO MUNICIPAL,GVE 27 SAO JOSE DOS CAMPOS,SANTA BRANCA,"Praça Rui Barbosa, 109 - Centro, Santa Branca - SP, 12380-000",0,,(12) 3972-4400,-23.398829755681618, -45.88636072867497,1
CS DE SANTA CLARA DOESTE,GVE 30 JALES,SANTA CLARA D'OESTE,"R. Antônio Facincani, 205, Santa Clara d'Oeste - SP, 15785-000",0,,(17) 3663-1109,-20.094674090419844,-50.92720728687773,0
UBS DR JOSE TADEU MOURAO,GVE 20 PIRACICABA,SANTA CRUZ DA CONCEICAO,"R. Ver. Gabriel Francisco, 370 - Centro, Santa Cruz da Conceição - SP, 13625-000",0,,(19) 3567-1286,"-22.138437097114522,",-47.45204070169299,0
UBS ORLANDA ARAUJO DA SILVA SCE,GVE 24 RIBEIRAO PRETO,SANTA CRUZ DA ESPERANCA,"R. Gilberto Rodrigues Xavier, 70, Santa Cruz da Esperança - SP, 14250-000",0,,(16) 3666-1179,-21.170745654239944,-46.41094416460002,0
"PRONTO SOCORRO DA IRMANDADE DO HOSPITAL E MATERNIDADE """"CEL. JUCA FERREIRA""""""",GVE 26 SAO JOAO DA BOA VISTA,SANTA CRUZ DAS PALMEIRAS,"RUA MONTEIRO DE BARROS, 179, CENTRO",1,ESCORPIÔNICO,(19) 3672-7200,-21.824741220451326,-47.249473071002306,1
SANTA CASA DE SANTA CRUZ DO RIO PARDO,GVE 13 ASSIS,SANTA CRUZ DO RIO PARDO,"AV. DR. CIRO DE MELLO CAMARINHA 530, CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(14) 3322-1222,-22.90110710421539,-49.62604784402032,1
CENTRO DE SAUDE III SANTA ERNESTINA,GVE 12 ARARAQUARA,SANTA ERNESTINA,"R. João Batista Caporici, Caporicci, 264, Santa Ernestina - SP, 15970-000",0,,(16) 3256-9999,-21.45979021958633,-48.38907759056689,1
UNIDADE DE PRONTO ATENDIMENTO (UPA) DE SANTA FÉ DO SUL,GVE 30 JALES,SANTA FE DO SUL,RUA 01 N 800 -CENTRO,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(17) 3631-1014,-20.214469959999825,-50.92744154031161,1
HOSPITAL E MATERNIDADE SANTA FRANCISCA STA GERTRUDES,GVE 20 PIRACICABA,SANTA GERTRUDES,"R. 6, 310 - Centro, Santa Gertrudes - SP, 13510-000",0,,(19) 3545-1126,"-22.45733966563763,",-47.53089653660292,1
UPA- UNIDADE DE PRONTO ATENDIMENTO SANTA ISABEL,GVE 8 MOGI DAS CRUZES,SANTA ISABEL,"RUA PRESID. CASTELO BRANCO, 320 - BROTAS - SANTA ISABEL",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 4656-81504,"-23.30817992857771,",-46.2299739672936,1
